gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os07g28850,1.31,2.06E-13,11.128,25.728,"retrotransposon protein, putative unclassified "
LOC_Os12g02200,1.31,5.75E-14,7.164,16.632,"CAMK_KIN1/SNF1/Nim1_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, "
LOC_Os04g54630,1.31,1.15E-08,3.628,8.464,expressed protein
LOC_Os04g40874,1.30,2.95E-24,91.896,213.002,"glucose-6-phosphate 1-dehydrogenase, cytoplasmic isoform, putative "
LOC_Os07g46330,1.30,3.61E-05,1.142,2.665,uncharacterized UPF0114 domain containing protein 
LOC_Os03g51479,1.30,3.95E-21,22.935,53.295,"maf, putative "
LOC_Os12g36220,1.30,4.02E-23,72.128,167.802,"inhibitor I family protein, putative "
LOC_Os02g07110,1.30,2.02E-09,4.000,9.286,OsSAUR6 - Auxin-responsive SAUR gene family member 
LOC_Os08g07890,1.30,4.84E-22,3.363,7.804,NB-ARC domain containing protein 
LOC_Os07g44890,1.30,1.30E-10,4.335,9.972,"gibberellin receptor GID1L2, putative "
LOC_Os02g43770,1.30,1.18E-21,7.376,17.137,"DUF630/DUF632 domains containing protein, putative "
LOC_Os11g37700,1.30,4.89E-10,36.919,84.773,"pleiotropic drug resistance protein, putative "
LOC_Os09g25090,1.30,1.73E-19,12.814,29.569,"CAMK_KIN1/SNF1/Nim1_like.34 - CAMK includes calcium/calmodulin depedent protein kinases, "
LOC_Os04g56950,1.30,4.22E-11,3.273,7.564,"jasmonate O-methyltransferase, putative "
LOC_Os02g41680,1.30,1.47E-27,45.344,104.802,"phenylalanine ammonia-lyase, putative "
LOC_Os12g08564,1.30,2.73E-17,6.419,14.835,"retrotransposon protein, putative unclassified "
LOC_Os01g48390,1.30,3.23E-20,16.065,37.014,expressed protein
LOC_Os07g48760,1.30,7.82E-10,3.500,8.049,"CAMK_KIN1/SNF1/Nim1_like.32 - CAMK includes calcium/calmodulin depedent protein kinases, "
LOC_Os04g51150,1.29,2.92E-14,14.208,32.569,"transposon protein, putative unclassified "
LOC_Os02g44108,1.29,1.75E-21,32.551,75.062,"expansin precursor, putative "
LOC_Os06g04230,1.29,1.09E-20,20.199,46.522,expressed protein
LOC_Os04g17100,1.29,2.88E-22,106.379,244.188,heavy metal-associated domain containing protein 
LOC_Os12g39120,1.29,6.06E-21,6.826,15.721,"protein phosphatase 2C, putative "
LOC_Os01g56570,1.29,2.63E-12,4.504,10.302,"xylosyltransferase, putative "
LOC_Os03g58580,1.29,4.39E-19,4.754,10.910,"nodulin, putative "
LOC_Os02g35210,1.29,7.79E-10,1.251,2.884,"resistance protein, putative "
LOC_Os11g28940,1.29,7.56E-15,11.802,27.280,expressed protein
LOC_Os06g49240,1.29,1.47E-14,5.139,11.752,"PTR-like peptide transporter, putatuve"
LOC_Os05g08750,1.29,3.78E-08,1.376,3.152,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein
LOC_Os04g06590,1.29,9.66E-06,0.511,1.181,expressed protein
LOC_Os02g03710,1.29,1.03E-07,10.540,24.008,"UP-9A, putative "
LOC_Os10g35070,1.29,9.57E-18,7.861,18.031,"alpha-galactosidase precursor, putative "
LOC_Os04g49430,1.28,1.57E-18,2.501,5.734,"ZR1 protein, putative "
LOC_Os01g26390,1.28,7.58E-10,1.561,3.580,TKL_IRAK_DUF26-lh.1 - DUF26 kinases have homology to DUF26 containing loci
LOC_Os09g32730,1.28,1.05E-07,6.471,14.674,"zinc finger, C3HC4 type domain containing protein, "
LOC_Os05g49300,1.28,2.67E-09,3.679,8.411,"iron-sulfur cluster assembly enzyme ISCU, mitochondrial precursor, putative "
LOC_Os04g06734,1.28,4.10E-20,12.348,28.453,expressed protein
LOC_Os06g01990,1.28,6.80E-22,32.874,75.036,"phosphoglycolate phosphatase, plasmid, putative "
LOC_Os09g38550,1.28,1.96E-22,21.558,49.245,"protein phosphatase 2C, putative "
LOC_Os10g41270,1.28,5.74E-15,3.775,8.625,"triacylglycerol lipase like protein, putative "
LOC_Os02g13220,1.28,9.46E-05,1.059,2.386,"F-box family protein, putative "
LOC_Os02g52010,1.28,6.56E-17,6.614,15.115,phosphate-induced protein 1 conserved region domain containing protein
LOC_Os03g47270,1.28,1.33E-05,1.114,2.561,GCRP4 - Glycine and cysteine rich family protein precursor
LOC_Os02g37380,1.28,4.10E-16,82.769,190.169,expressed protein
LOC_Os11g44430,1.28,6.84E-21,26.369,60.070,"protein kinase, putative "
LOC_Os11g15190,1.28,1.49E-12,3.787,8.611,"RGH1A, putative "
LOC_Os05g41490,1.28,2.44E-05,0.810,1.845,"circadian clock coupling factor ZGT, putative "
LOC_Os04g51460,1.28,8.09E-06,1.537,3.462,"glycosyl hydrolases family 16, putative "
LOC_Os11g34710,1.28,2.10E-09,2.223,5.092,"Ser/Thr protein phosphatase family protein, putative "
LOC_Os01g17390,1.28,1.16E-27,42.783,97.683,"OsFBX5 - F-box domain containing protein, "
LOC_Os03g08930,1.28,2.75E-15,5.557,12.642,"helix-loop-helix DNA-binding protein, putative "
LOC_Os09g36580,1.28,2.61E-16,10.507,24.135,"thaumatin, putative "
LOC_Os08g08440,1.27,1.18E-07,2.665,6.040,expressed protein
LOC_Os01g47070,1.27,1.81E-11,57.175,129.074,"glycosyl hydrolase, putative "
LOC_Os01g03390,1.27,3.38E-25,30.699,69.822,BBTI7 - Bowman-Birk type bran trypsin inhibitor precursor 
LOC_Os04g58920,1.27,5.23E-18,14.244,32.266,"U-box domain-containing protein, putative "
LOC_Os05g46510,1.27,3.37E-15,3.165,7.196,"polygalacturonase, putative "
LOC_Os06g46910,1.27,5.10E-14,2.305,5.236,ZOS6-07 - C2H2 zinc finger protein 
LOC_Os05g09480,1.27,1.77E-19,12.943,29.598,OsIAA16 - Auxin-responsive Aux/IAA gene family member 
LOC_Os11g03240,1.27,2.32E-06,0.688,1.563,"MATE efflux family protein, putative "
LOC_Os10g38860,1.27,1.55E-11,8.399,18.925,"hydrolase, alpha/beta fold family domain containing protein"
LOC_Os06g06900,1.27,8.74E-25,10.456,23.812,"helix-loop-helix DNA-binding domain containing protein, "
LOC_Os01g04050,1.27,9.40E-19,66.303,150.771,BBTI12 - Bowman-Birk type bran trypsin inhibitor precursor 
LOC_Os07g42940,1.27,2.73E-24,52.533,118.814,"CAMK_CAMK_like.7 - CAMK includes calcium/calmodulin depedent protein kinases, "
LOC_Os07g35690,1.27,1.16E-16,5.556,12.554,TKL_IRAK_DUF26-lc.3 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os06g05420,1.27,1.02E-05,1.664,3.785,expressed protein
LOC_Os05g16824,1.26,7.38E-22,5.937,13.404,"SHR5-receptor-like kinase, putative "
LOC_Os05g40060,1.26,6.93E-05,0.827,1.905,"WRKY48, "
LOC_Os06g12290,1.26,3.15E-05,1.392,3.152,"glutathione S-transferase GSTU6, putative "
LOC_Os03g50210,1.26,5.13E-13,6.860,15.398,DUF292 domain containing protein 
LOC_Os03g49440,1.26,1.41E-19,33.446,75.154,"phosphatase, putative "
LOC_Os05g44770,1.26,3.26E-22,36.275,81.567,"receptor-like protein kinase 5 precursor, putative "
LOC_Os12g06080,1.26,8.57E-13,7.638,17.141,expressed protein
LOC_Os03g25750,1.26,2.01E-19,8.219,18.504,"SNARE associated Golgi protein, putative "
LOC_Os01g50680,1.26,9.91E-08,2.236,4.996,"OsSub2 - Putative Subtilisin homologue, "
LOC_Os01g54340,1.26,1.85E-11,7.692,17.319,plant-specific domain TIGR01615 family protein
LOC_Os06g18900,1.26,1.18E-17,9.543,21.389,"cadmium tolerance factor, putative "
LOC_Os04g51050,1.26,6.33E-23,4.092,9.208,OsWAK53b - OsWAK receptor-like protein kinase 
LOC_Os12g39400,1.26,3.94E-05,1.307,2.902,ZOS12-09 - C2H2 zinc finger protein 
LOC_Os06g10850,1.26,1.25E-08,2.233,5.018,"lipase, putative "
LOC_Os09g15670,1.26,4.52E-16,5.608,12.581,"protein phosphatase 2C, putative "
LOC_Os01g06560,1.26,1.01E-06,0.905,2.042,"transcription factor HBP-1b, putative "
LOC_Os08g35560,1.26,1.72E-05,0.392,0.877,expressed protein
LOC_Os01g43650,1.26,1.43E-06,2.276,5.085,WRKY11 
LOC_Os05g46340,1.26,2.18E-20,6.224,13.963,expressed protein
LOC_Os03g56580,1.26,5.20E-09,1.981,4.437,"no apical meristem protein, putative "
LOC_Os04g30930,1.25,3.79E-11,2.497,5.607,NB-ARC domain containing protein 
LOC_Os12g33100,1.25,4.58E-23,59.349,132.868,"guanylate kinase, putative "
LOC_Os01g40499,1.25,2.42E-14,3.913,8.738,"S-locus lectin protein kinase family protein, putative "
LOC_Os12g26510,1.25,2.07E-15,15.003,33.494,expressed protein
LOC_Os02g03280,1.25,1.27E-13,118.706,264.062,"transmembrane BAX inhibitor motif-containing protein, putative "
LOC_Os01g61044,1.25,5.87E-10,2.571,5.734,"transmembrane amino acid transporter protein, putative "
LOC_Os01g17050,1.25,5.86E-05,1.068,2.380,"VQ domain containing protein, putative "
LOC_Os02g08400,1.25,5.93E-07,2.751,6.112,"HLS, putative "
LOC_Os04g43840,1.25,9.59E-20,19.681,44.328,possible lysine decarboxylase domain containing protein 
LOC_Os04g47620,1.25,6.58E-09,1.526,3.421,"protein kinase APK1B, chloroplast precursor, putative "
LOC_Os02g20210,1.25,1.27E-07,0.854,1.919,"disease resistance protein RGA1, putative "
LOC_Os01g62010,1.25,6.30E-07,2.137,4.750,"hydrolase, alpha/beta fold family domain containing protein, "
LOC_Os05g33630,1.25,4.42E-05,1.484,3.377,"inosine-uridine preferring nucleoside hydrolase family protein, putative "
LOC_Os07g33440,1.25,2.08E-09,2.349,5.215,"cytochrome P450, putative "
LOC_Os10g41190,1.25,4.90E-26,10.238,22.911,"transporter family protein, putative "
LOC_Os09g39940,1.25,1.99E-18,59.422,132.188,"plastocyanin-like domain containing protein, putative "
LOC_Os04g25970,1.24,7.42E-05,1.035,2.279,"cytokinin-O-glucosyltransferase 2, putative "
LOC_Os11g31540,1.24,5.97E-15,9.419,20.950,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative "
LOC_Os06g14450,1.24,2.11E-09,1.295,2.914,"exo70 exocyst complex subunit family protein, putative "
LOC_Os11g37900,1.24,4.82E-12,81.783,180.647,"3-ketoacyl-CoA synthase, putative "
LOC_Os02g12230,1.24,3.41E-05,10.175,22.496,hypothetical protein
LOC_Os01g70770,1.24,3.61E-08,1.971,4.366,"glutathione S-transferase, putative "
LOC_Os06g19370,1.24,3.87E-14,18.445,40.764,"cadmium tolerance factor, putative "
LOC_Os07g39270,1.24,2.27E-20,11.481,25.451,"polyprenyl synthetase, putative "
LOC_Os09g04160,1.24,3.84E-22,11.587,25.774,expressed protein
LOC_Os11g10290,1.24,4.58E-12,5.342,11.813,"S-domain receptor-like protein kinase, putative "
LOC_Os05g36270,1.24,2.47E-12,15.447,34.095,"fructose-1,6-bisphosphatase, putative "
LOC_Os04g49700,1.24,7.13E-12,2.689,5.962,"zinc finger, C3HC4 type domain containing protein"
LOC_Os06g16350,1.24,4.80E-12,130.213,287.128,"peroxidase precursor, putative "
LOC_Os01g09590,1.24,1.59E-15,21.371,47.254,"myb-like DNA-binding domain containing protein, putative "
LOC_Os03g17350,1.24,1.40E-07,38.236,83.926,"white-brown complex homolog protein, putative "
LOC_Os03g55050,1.24,8.53E-14,4.272,9.472,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein
LOC_Os08g36220,1.24,3.45E-06,1.125,2.505,"homeobox associated leucine zipper, putative "
LOC_Os01g48530,1.24,6.50E-22,24.223,53.542,expressed protein
LOC_Os03g30130,1.23,8.72E-13,4.150,9.167,"phospholipase C, putative "
LOC_Os12g24580,1.23,6.85E-17,46.394,102.209,"Lg106, putative "
LOC_Os01g06660,1.23,9.42E-20,8.803,19.425,"thiamine pyrophosphate enzyme, C-terminal TPP binding domain containing protein "
LOC_Os07g44910,1.23,7.03E-09,3.035,6.658,"gibberellin receptor GID1L2, putative "
LOC_Os01g09640,1.23,1.43E-21,15.247,33.725,"Myb transcription factor, putative "
LOC_Os07g07900,1.23,2.52E-08,1.419,3.116,expressed protein
LOC_Os02g45890,1.23,7.79E-12,25.096,55.069,sulfotransferase domain containing protein
LOC_Os07g48320,1.23,2.48E-14,12.273,27.199,"HAD superfamily phosphatase, putative "
LOC_Os11g47640,1.23,6.66E-05,2.367,5.158,expressed protein
LOC_Os08g42570,1.23,9.06E-07,1.755,3.850,plant protein of unknown function domain containing protein 
LOC_Os01g41240,1.23,4.19E-08,39.221,85.656,"hydrolase, alpha/beta fold family domain containing protein"
LOC_Os01g15990,1.23,8.96E-05,0.871,1.896,expressed protein
LOC_Os11g33050,1.23,3.30E-14,7.099,15.654,expressed protein
LOC_Os02g52190,1.23,5.55E-12,17.523,38.340,"helix-loop-helix DNA-binding protein, putative "
LOC_Os11g06780,1.22,1.24E-13,5.097,11.177,"serine/threonine-protein kinase BRI1-like 1 precursor, putative "
LOC_Os12g02400,1.22,2.93E-05,0.991,2.210,"WRKY114, "
LOC_Os02g34600,1.22,9.00E-23,18.806,41.265,CAMK_CAMK_like.13 - CAMK includes calcium/calmodulin depedent protein kinases 
LOC_Os01g07970,1.22,1.19E-12,9.407,20.587,expressed protein
LOC_Os12g03740,1.22,8.98E-13,34.854,75.957,OsFBX438 - F-box domain containing protein 
LOC_Os01g65420,1.22,1.79E-20,13.535,29.824,expressed protein
LOC_Os06g50240,1.22,1.68E-08,5.165,11.250,"thaumatin, putative "
LOC_Os04g41960,1.22,2.04E-08,1.842,4.047,"NADP-dependent oxidoreductase, putative "
LOC_Os03g62230,1.22,2.42E-07,2.087,4.556,ZOS3-24 - C2H2 zinc finger protein 
LOC_Os10g26150,1.22,4.16E-11,59.845,130.547,expressed protein
LOC_Os02g50460,1.22,2.32E-07,2.489,5.413,"immediate-early fungal elicitor protein CMPG1, putative "
LOC_Os10g26290,1.22,6.43E-05,0.784,1.694,"transferase family protein, putative "
LOC_Os06g43620,1.22,1.59E-10,26.760,58.029,"haemolysin-III, putative "
LOC_Os02g13360,1.22,2.20E-20,4.812,10.508,expressed protein
LOC_Os07g35790,1.21,6.61E-24,14.521,31.763,TKL_IRAK_DUF26-ld.5 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os02g56380,1.21,1.10E-07,0.793,1.745,OsWAK21 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK 
LOC_Os06g41360,1.21,4.94E-23,10.534,22.986,"phosphoribosyl transferase, putative "
LOC_Os04g40730,1.21,3.19E-13,77.831,168.759,"oxidoreductase, short chain dehydrogenase/reductase family, putative "
LOC_Os09g30230,1.21,6.45E-08,2.206,4.818,"disease resistance protein RPM1, putative "
LOC_Os12g43340,1.21,2.56E-21,17.173,37.408,"actin-depolymerizing factor, putative "
LOC_Os08g43490,1.21,7.64E-13,11.758,25.512,"heat shock protein DnaJ, putative "
LOC_Os01g32840,1.21,5.19E-09,6.980,15.146,expressed protein
LOC_Os01g64540,1.21,4.63E-10,2.821,6.108,"anthocyanidin 3-O-glucosyltransferase, putative "
LOC_Os03g15270,1.21,5.88E-14,5.026,10.870,"gibberellin receptor GID1L2, putative "
LOC_Os01g64100,1.21,4.27E-10,3.070,6.629,"glycosyl hydrolase, putative "
LOC_Os05g04830,1.20,2.62E-07,1.866,4.062,expressed protein
LOC_Os06g37620,1.20,4.93E-16,8.595,18.555,"protein kinase family protein, putative "
LOC_Os08g34510,1.20,5.31E-05,3.495,7.666,expressed protein
LOC_Os03g12370,1.20,9.41E-19,12.100,26.132,HSF-type DNA-binding domain containing protein 
LOC_Os02g42430,1.20,4.17E-05,2.539,5.536,"GEM, putative "
LOC_Os08g44370,1.20,4.59E-17,41.963,90.366,"inosine-uridine preferring nucleoside hydrolase family protein, putative "
LOC_Os06g51010,1.20,5.33E-05,2.389,5.122,expressed protein
LOC_Os08g35600,1.20,5.10E-09,2.642,5.691,"tyrosine protein kinase domain containing protein, putative "
LOC_Os05g04700,1.20,1.57E-22,558.825,1202.863,OsRCI2-6 - Hydrophobic protein LTI6B 
LOC_Os01g71830,1.20,2.40E-08,72.556,154.926,"glycosyl hydrolases family 17, putative "
LOC_Os06g12410,1.20,5.01E-09,34.537,73.785,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os04g47900,1.19,7.10E-05,1.269,2.773,"ATTIM23-2, putative "
LOC_Os03g07920,1.19,1.90E-07,1.645,3.545,expressed protein
LOC_Os03g11900,1.19,6.23E-17,19.656,42.166,"transporter family protein, putative "
LOC_Os07g48510,1.19,2.29E-09,6.939,14.939,"thioredoxin, putative "
LOC_Os04g36770,1.19,1.04E-05,1.915,4.101,"PME/invertase inhibitor, putative "
LOC_Os07g35810,1.19,1.43E-16,18.529,39.682,TKL_IRAK_DUF26-ld.6 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os10g17489,1.19,6.72E-14,10.966,23.433,UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein 
LOC_Os07g23410,1.19,8.69E-06,1.387,2.978,"fatty acid desaturase, putative "
LOC_Os02g58170,1.19,2.37E-07,1.123,2.403,"transposon protein, putative unclassified "
LOC_Os07g35280,1.19,1.90E-11,5.057,10.799,TKL_IRAK_DUF26-lc.1 - DUF26 kinases have homology to DUF26 containing loci 
LOC_Os11g04730,1.19,1.39E-09,4.478,9.670,"DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative "
LOC_Os08g02180,1.19,3.40E-13,8.305,17.857,expressed protein
LOC_Os02g09990,1.19,2.42E-06,2.133,4.572,expressed protein
LOC_Os01g72570,1.19,2.51E-21,7.210,15.473,expressed protein
LOC_Os09g19820,1.19,3.40E-12,52.189,111.103,"aminopeptidase, putative "
LOC_Os12g29400,1.19,2.72E-11,6.948,14.856,GRAM domain containing protein 
LOC_Os01g48010,1.19,6.96E-07,1.498,3.219,expressed protein
LOC_Os12g03816,1.18,9.02E-12,3.983,8.541,"OsCML3 - Calmodulin-related calcium sensor protein, "
LOC_Os04g41450,1.18,1.71E-14,5.591,11.894,"TGF-beta receptor, type I/II extracellular region, putative "
LOC_Os11g43200,1.18,2.48E-06,10.603,22.396,"tropinone reductase 2, putative "
LOC_Os03g44380,1.18,3.33E-08,1.061,2.271,"9-cis-epoxycarotenoid dioxygenase 1, chloroplast precursor, putative "
LOC_Os11g47944,1.18,3.34E-09,5.061,10.792,"thaumatin, putative "
LOC_Os05g34270,1.18,2.24E-17,20.342,43.174,"inactive receptor kinase At1g27190 precursor, putative "
LOC_Os10g35644,1.18,8.74E-09,2.353,5.031,expressed protein
LOC_Os04g57440,1.18,2.63E-22,72.426,154.078,"oryzain beta chain precursor, putative "
LOC_Os11g11970,1.18,1.13E-12,64.477,136.522,expressed protein
LOC_Os11g34080,1.18,4.10E-16,11.069,23.480,expressed protein
LOC_Os06g01350,1.18,3.28E-09,11.579,24.420,"transferase family protein, putative "
LOC_Os02g37309,1.18,5.32E-08,2.183,4.673,expressed protein
LOC_Os05g08420,1.18,2.20E-15,54.157,115.112,expressed protein
LOC_Os10g02480,1.17,1.54E-16,7.449,15.869,"oxidoreductase, aldo/keto reductase family protein, putative "
LOC_Os01g46760,1.17,1.22E-14,5.146,10.933,"protein phosphatase 2C, putative "
LOC_Os02g33710,1.17,1.28E-23,67.813,144.302,"decarboxylase, putative "
LOC_Os03g61710,1.17,4.27E-17,37.787,79.854,"GHMP kinases ATP-binding protein, putative "
LOC_Os02g49850,1.17,7.72E-20,20.439,43.502,"plastocyanin-like domain containing protein, putative "
LOC_Os11g02610,1.17,6.35E-06,4.189,8.813,BTBN20 - Bric-a-Brac Tramtrack Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains 
LOC_Os02g37160,1.17,6.47E-15,46.847,98.638,"heavy metal transport/detoxification protein, putative "
LOC_Os03g03350,1.17,2.25E-08,3.786,7.959,"polygalacturonase, putative "
LOC_Os09g31031,1.17,1.20E-14,43.521,92.261,"ubiquitin family protein, putative "
LOC_Os04g55420,1.17,8.45E-13,2.270,4.793,"leucine-rich repeat family protein, putative "
LOC_Os02g13510,1.17,7.68E-20,17.181,36.218,"receptor-like protein kinase 5 precursor, putative "
LOC_Os06g44930,1.17,1.47E-07,3.863,8.160,expressed protein
LOC_Os09g23780,1.17,8.39E-06,4.057,8.474,expressed protein
LOC_Os06g22150,1.17,4.48E-10,8.931,18.866,expressed protein
LOC_Os10g41999,1.16,3.71E-10,61.460,130.208,RALFL27 - Rapid ALkalinization Factor RALF family protein precursor 
LOC_Os01g09230,1.16,8.90E-05,0.744,1.586,expressed protein
LOC_Os07g03050,1.16,1.24E-12,3.245,6.829,expressed protein
LOC_Os12g04320,1.16,8.12E-07,28.828,60.226,sulfotransferase domain containing protein 
LOC_Os06g12560,1.16,2.12E-08,4.433,9.293,zinc finger C3HC4 type domain containing protein 
LOC_Os01g04490,1.16,4.14E-08,1.992,4.217,"Ser/Thr protein kinase, putative "
LOC_Os11g31090,1.16,5.55E-06,150.922,314.295,"transferase family protein, putative "
LOC_Os01g03340,1.16,3.05E-19,309.056,651.888,BBTI4 - Bowman-Birk type bran trypsin inhibitor precursor 
LOC_Os05g39990,1.16,2.37E-12,11.232,23.759,"expansin precursor, putative "
LOC_Os03g08860,1.16,3.51E-15,16.510,34.607,GRAM domain containing protein 
LOC_Os07g48150,1.16,1.31E-05,1.236,2.585,DUF623 domain containing protein 
LOC_Os11g05740,1.16,2.08E-12,4.218,8.851,B3 DNA binding domain containing protein 
LOC_Os05g05610,1.16,5.46E-09,16.087,33.904,expressed protein
LOC_Os01g60280,1.16,1.57E-16,69.559,145.366,"ATP binding protein, putative "
LOC_Os03g01270,1.16,2.49E-11,29.035,60.706,"expansin precursor, putative "
LOC_Os08g34010,1.16,5.68E-07,2.195,4.598,ZF-HD protein dimerisation region containing protein 
LOC_Os09g36800,1.16,6.69E-20,37.512,78.463,"3-dehydroquinate synthase, putative "
LOC_Os04g03980,1.15,1.11E-20,11.710,24.553,"flavin monooxygenase, putative "
LOC_Os10g39100,1.15,6.48E-13,11.911,24.884,"uncharacterized Cys-rich domain containing protein, putative "
LOC_Os08g14570,1.15,1.80E-12,49.482,102.818,"NADPH reductase, putative "
LOC_Os02g03790,1.15,1.47E-13,3.569,7.491,expressed protein
LOC_Os02g16909,1.15,2.74E-12,10.815,22.709,dynein light chain type 1 domain containing protein 
LOC_Os06g38780,1.15,2.85E-08,1.288,2.693,"receptor-like protein kinase 2 precursor, putative "
LOC_Os01g57510,1.15,2.79E-13,2.888,6.038,"receptor protein kinase, putative "
LOC_Os03g62480,1.15,1.46E-11,4.483,9.334,"anthocyanidin 5,3-O-glucosyltransferase, putative "
LOC_Os08g33110,1.15,5.73E-08,12.012,24.956,expressed protein
LOC_Os05g49080,1.15,1.85E-07,6.158,12.742,expressed protein
LOC_Os02g46500,1.15,1.24E-05,1.582,3.290,"U-box, putative "
LOC_Os04g43560,1.14,3.03E-08,7.122,14.728,"no apical meristem protein, putative "
LOC_Os05g06520,1.14,9.62E-05,4.413,9.139,helix-loop-helix DNA-binding domain containing protein 
LOC_Os04g56930,1.14,7.48E-15,35.844,74.167,"glycosyl hydrolases, putative "
LOC_Os06g10210,1.14,3.38E-14,3.573,7.419,expressed protein
